"","Year","Product.line","Product.type","Product","Order.method.type","Retailer.country","Revenue","Planned.revenue","Product.cost","Quantity","Unit.cost","Unit.price","Gross.profit","Unit.sale.price"
"120",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Germany",131629.64,188539.9,66575.41,28610,2.495,6.59,65054.23,5.06375
"125",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Italy",57185.2,73445.55,27959.46,11145,2.6975,6.59,29225.74,5.665
"126",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","E-mail","Spain",27749.54,39902.45,13998.74,6055,2.495,6.59,13750.8,5.105
"127",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","United States",46745.73,50011.51,22008.1,7589,2.9,6.59,24737.63,6.17333333
"130",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Brazil",34051.1,36001.17,15842.7,5463,2.9,6.59,18208.4,6.23666667
"131",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Japan",60048.26,76364.92,29283.85,11588,2.6975,6.59,30764.41,5.665
"134",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Singapore",97534.43,104853.49,46141.9,15911,2.9,6.59,51392.53,6.13
"140",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","France",39388.15,41839.91,18412.1,6349,2.9,6.59,20976.05,6.21666667
"141",2004,"Camping Equipment","Cooking Gear","TrailChef Water Bag","Fax","Germany",13525.15,14399.15,6336.5,2185,2.9,6.59,7188.65,6.19
"148",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","United States",209592.06,235238.22,124283.88,18774,6.62,12.53,85308.18,11.427
"149",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Canada",8489.36,12129.04,6408.16,968,6.62,12.53,2081.2,8.77
"150",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Mexico",11962.28,17090.92,9029.68,1364,6.62,12.53,2932.6,8.77
"151",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Brazil",7919.31,11314.59,5977.86,903,6.62,12.53,1941.45,8.77
"152",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Japan",107959.17,124485.55,65769.7,9935,6.62,12.53,42189.47,11.28692308
"154",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","China",46017.41,55219.71,29174.34,4407,6.62,12.53,16843.07,10.85666667
"157",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Netherlands",24432.93,25448.43,13445.22,2031,6.62,12.53,10987.71,12.03
"159",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Finland",27416.37,28555.87,15086.98,2279,6.62,12.53,12329.39,12.03
"160",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Denmark",21677.06,26513.48,14007.92,2116,6.62,12.53,7669.14,11.02333333
"161",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","France",47071.94,52951.78,27976.12,4226,6.62,12.53,19095.82,11.50666667
"163",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","United Kingdom",108403.69,123934.23,65478.42,9891,6.62,12.53,42925.27,11.31666667
"166",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Telephone","Austria",11237.69,13269.27,7010.58,1059,6.62,12.53,4227.11,11.02333333
"169",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","United States",58425.59,66045.63,34894.02,5271,6.62,12.53,23531.57,11.48666667
"171",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Mexico",54227.67,58853.41,31094.14,4697,6.62,12.53,23133.53,11.6375
"174",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Korea",79294.15,88273.85,46637.9,7045,6.62,12.53,32656.25,11.54571429
"176",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Singapore",77432.45,86820.37,45869.98,6929,6.62,12.53,31562.47,11.56428571
"180",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Finland",8721.75,9084.25,4799.5,725,6.62,12.53,3922.25,12.03
"182",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","France",42056.65,51936.85,27439.9,4145,6.62,12.53,14616.75,10.726
"183",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Germany",36158.61,44218.37,23361.98,3529,6.62,12.53,12796.63,10.75
"185",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Belgium",4860,5012,2648,400,6.62,12.53,2212,12.15
"188",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Sales visit","Italy",56161.63,61610.01,32550.54,4917,6.62,12.53,23611.09,11.6375
"190",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","United States",156644.47,176334.69,93163.26,14073,6.62,12.53,63481.21,11.5
"191",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Canada",56887.08,59191.72,31272.88,4724,6.62,12.53,25614.2,12.045
"192",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Mexico",6748.83,7029.33,3713.82,561,6.62,12.53,3035.01,12.03
"193",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Brazil",47810.43,52613.47,27797.38,4199,6.62,12.53,20013.05,11.6825
"194",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Japan",40240.35,41912.85,22143.9,3345,6.62,12.53,18096.45,12.03
"195",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Korea",50640.8,59479.91,31425.14,4747,6.62,12.53,19215.66,11.1825
"196",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","China",140445.34,156324.28,82591.12,12476,6.62,12.53,57854.22,11.55222222
"197",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Singapore",22123.17,23042.67,12174.18,1839,6.62,12.53,9948.99,12.03
"199",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Netherlands",56802.39,66446.59,35105.86,5303,6.62,12.53,21696.53,11.09857143
"200",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Sweden",13076.61,13620.11,7195.94,1087,6.62,12.53,5880.67,12.03
"201",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Finland",69089.27,77447.93,40918.22,6181,6.62,12.53,28171.05,11.56428571
"202",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Denmark",6351.84,6615.84,3495.36,528,6.62,12.53,2856.48,12.03
"203",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","France",60353.04,62800.36,33179.44,5012,6.62,12.53,27173.6,12.045
"204",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Germany",50627.21,52776.36,27883.44,4212,6.62,12.53,22743.77,12.02857143
"205",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","United Kingdom",52519.3,57487.64,30372.56,4588,6.62,12.53,22146.74,11.6525
"206",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Belgium",25113.83,28405.51,15007.54,2267,6.62,12.53,10106.29,11.474
"208",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Austria",38383.55,42163.45,22276.3,3365,6.62,12.53,16107.25,11.77444444
"209",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Italy",7073.64,7367.64,3892.56,588,6.62,12.53,3181.08,12.03
"210",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Web","Spain",53777.57,59404.73,31385.42,4741,6.62,12.53,22392.15,11.6525
"212",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Special","Canada",13557.81,14121.31,7460.74,1127,6.62,12.53,6097.07,12.03
"213",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Special","Mexico",12342.03,12793.13,6759.02,1021,6.62,12.53,5583.01,12.09
"218",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Special","Singapore",12909.44,18444.16,9744.64,1472,6.62,12.53,3164.8,8.77
"232",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","United States",30439.81,36424.71,19244.34,2907,6.62,12.53,11195.47,10.94333333
"237",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Korea",10514.22,10951.22,5785.88,874,6.62,12.53,4728.34,12.03
"239",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Singapore",9575.88,9973.88,5269.52,796,6.62,12.53,4306.36,12.03
"245",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","France",6688.68,6966.68,3680.72,556,6.62,12.53,3007.96,12.03
"246",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Germany",7508.9,7906.43,4177.22,631,6.62,12.53,3331.68,11.9
"252",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Mail","Spain",10959.3,11302.06,5971.24,902,6.62,12.53,4988.06,12.15
"254",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Canada",85220.47,93060.31,49166.74,7427,6.62,12.53,36053.73,11.725
"257",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Japan",52162.7,58828.35,31080.9,4695,6.62,12.53,21081.8,11.44333333
"262",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Netherlands",8745.81,9109.31,4812.74,727,6.62,12.53,3933.07,12.03
"263",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Sweden",34551.87,38078.67,20118.18,3039,6.62,12.53,14433.69,11.54666667
"267",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Germany",72362.89,83111.49,43910.46,6633,6.62,12.53,28452.43,11.362
"272",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Italy",22305.82,26964.56,14246.24,2152,6.62,12.53,8059.58,10.94333333
"273",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","E-mail","Spain",8121.02,11602.78,6130.12,926,6.62,12.53,1990.9,8.77
"274",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","United States",6796.95,7079.45,3740.3,565,6.62,12.53,3056.65,12.03
"275",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Canada",6207.48,6465.48,3415.92,516,6.62,12.53,2791.56,12.03
"277",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Brazil",18595.47,19308.73,10201.42,1541,6.62,12.53,8394.05,12.07
"281",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Singapore",9660.09,10061.59,5315.86,803,6.62,12.53,4344.23,12.03
"283",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Netherlands",8673.63,9034.13,4773.02,721,6.62,12.53,3900.61,12.03
"285",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Finland",11050.2,15787.8,8341.2,1260,6.62,12.53,2709,8.77
"287",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","France",28553.55,33041.61,17456.94,2637,6.62,12.53,11096.61,11.245
"288",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Germany",7374.39,7680.89,4058.06,613,6.62,12.53,3316.33,12.03
"289",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","United Kingdom",6496.2,6766.2,3574.8,540,6.62,12.53,2921.4,12.03
"294",2004,"Camping Equipment","Cooking Gear","TrailChef Canteen","Fax","Spain",6063.12,6315.12,3336.48,504,6.62,12.53,2726.64,12.03
"295",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","United States",422398.66,449225,300678.75,18875,15.93,23.8,121719.91,22.516
"297",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Mexico",60063.81,65045.4,43536.69,2733,15.93,23.8,16527.12,22.135
"298",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Brazil",49874.88,53835.6,36033.66,2262,15.93,23.8,13841.22,22.255
"299",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Japan",153637.98,163196.6,109232.01,6857,15.93,23.8,44405.97,22.564
"302",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Singapore",143364.09,154914.2,103688.37,6509,15.93,23.8,39675.72,22.16714286
"304",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Netherlands",43780.6,45600.8,30521.88,1916,15.93,23.8,13258.72,22.85
"305",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Sweden",13093.05,13637.4,9127.89,573,15.93,23.8,3965.16,22.85
"306",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Finland",46294.1,48218.8,32274.18,2026,15.93,23.8,14019.92,22.85
"307",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Denmark",60143.67,64498,43170.3,2710,15.93,23.8,16973.37,22.326
"308",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","France",151294.93,161007,107766.45,6765,15.93,23.8,43528.48,22.516
"310",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","United Kingdom",234305.84,249233.6,166818.96,10472,15.93,23.8,67486.88,22.49842105
"313",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Austria",53484.6,56644,37913.4,2380,15.93,23.8,15571.2,22.61285714
"314",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Telephone","Italy",10298.14,10614.8,7104.78,446,15.93,23.8,3193.36,23.09
"316",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","United States",96725.24,102887.4,68865.39,4323,15.93,23.8,27859.85,22.612
"318",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Mexico",48115.42,50027.6,33484.86,2102,15.93,23.8,14630.56,22.91
"321",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Korea",35646,37128,24850.8,1560,15.93,23.8,10795.2,22.85
"322",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","China",33650.82,37389.8,25026.03,1571,15.93,23.8,8624.79,21.42
"323",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Singapore",89412.05,93129.4,62334.09,3913,15.93,23.8,27077.96,22.85
"327",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Finland",52098,54264,36320.4,2280,15.93,23.8,15777.6,22.85
"328",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Denmark",18033.29,18587.8,12441.33,781,15.93,23.8,5591.96,23.09
"329",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","France",132727.54,140562.8,94082.58,5906,15.93,23.8,38644.96,22.612
"330",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Germany",24974.32,25894.4,17331.84,1088,15.93,23.8,7642.48,22.97
"332",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Belgium",12791.86,13185.2,8825.22,554,15.93,23.8,3966.64,23.09
"335",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Sales visit","Italy",62961.29,68210.8,45655.38,2866,15.93,23.8,17305.91,22.135
"337",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","United States",220003.68,229051.2,153310.32,9624,15.93,23.8,66693.36,22.86714286
"338",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Canada",46995,48837.6,32688.36,2052,15.93,23.8,14306.64,22.91
"339",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Mexico",50091.26,51931.6,34759.26,2182,15.93,23.8,15332,22.97
"340",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Brazil",83601.75,86322.6,57778.11,3627,15.93,23.8,25823.64,23.06
"341",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Japan",16406.3,17088.4,11437.74,718,15.93,23.8,4968.56,22.85
"342",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Korea",149974.1,157889.2,105679.62,6634,15.93,23.8,44294.48,22.61
"343",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","China",297392.3,315231,210992.85,13245,15.93,23.8,86399.45,22.54545455
"346",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Netherlands",96053.54,102887.4,68865.39,4323,15.93,23.8,27188.15,22.37333333
"348",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Finland",57719.1,60118.8,40239.18,2526,15.93,23.8,17479.92,22.85
"349",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Denmark",21298.62,22419.6,15006.06,942,15.93,23.8,6292.56,22.61
"350",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","France",44263.84,45886.4,30713.04,1928,15.93,23.8,13550.8,22.97
"351",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Germany",47064.08,48932.8,32752.08,2056,15.93,23.8,14312,22.91
"352",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","United Kingdom",62661.77,65426.2,43791.57,2749,15.93,23.8,18870.2,22.802
"353",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Belgium",36229.1,38365.6,25679.16,1612,15.93,23.8,10549.94,22.6725
"355",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Austria",32626.17,33629.4,22509.09,1413,15.93,23.8,10117.08,23.09
"356",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Italy",12270.45,12780.6,8554.41,537,15.93,23.8,3716.04,22.85
"357",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Web","Spain",87278.11,90225.8,60390.63,3791,15.93,23.8,26887.48,23.03
"359",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Special","Canada",23284.86,24133.2,16153.02,1014,15.93,23.8,7131.84,22.97
"374",2004,"Camping Equipment","Cooking Gear","TrailChef Kitchen Kit","Special","Belgium",4271.65,4403,2947.05,185,15.93,23.8,1324.6,23.09
